player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,team_id,team_name,region,gamechanger
Brädi,DOES,"['breach', 'fade', 'kayo']",201,0.90,163.4,0.83,71%,108.5,0.59,0.40,0.10,0.11,23%,29%,12679,apinaorkesteri,ap,False
Gianta,RFS,"['omen', 'viper', 'cypher']",240,0.90,162.3,0.80,71%,111.0,0.58,0.40,0.08,0.05,31%,19%,15811,Ketçaplı Ruffles,ap,False
cullumx,ACE,"['kayo', 'reyna', 'iso']",375,0.90,192.6,0.91,66%,128.9,0.68,0.29,0.11,0.12,39%,9%,3531,Acend,ap,False
jas,JL,"['jett', 'neon', 'raze']",449,0.90,199.6,0.94,68%,130.9,0.69,0.18,0.18,0.21,28%,32%,11232,Joblife,ap,False
glovee,GAL,"['sova', 'skye', 'fade']",629,0.90,171.1,0.84,71%,114.7,0.60,0.34,0.07,0.08,25%,19%,4762,Galakticos,ap,False
Famzzam,SNS,"['viper', 'gekko', 'fade']",548,0.90,169.9,0.83,71%,111.4,0.58,0.32,0.06,0.08,25%,12%,14467,SweetNsour,ap,False
bzt,CG,"['sova', 'breach', 'fade']",300,0.89,167.2,0.83,71%,117.9,0.57,0.31,0.05,0.06,28%,11%,14429,Chipi Chapa's,ap,False
Buld,GN,"['breach', 'sage', 'sova']",496,0.89,177.3,0.91,70%,115.1,0.62,0.29,0.10,0.10,27%,10%,12474,GoNext Esports,ap,False
ginger,aTTaX,"['cypher', 'killjoy', 'clove']",535,0.89,185.5,0.95,64%,119.9,0.68,0.21,0.06,0.12,20%,22%,11496,ALTERNATE aTTaX Ruby,ap,False
Ale,OF,"['neon', 'raze', 'yoru']",218,0.89,195.2,0.85,64%,128.5,0.67,0.22,0.17,0.22,20%,5%,7932,OnlyFins,ap,False
qRaxs,FUT,"['gekko', 'breach', 'sage']",255,0.88,154.6,0.91,72%,103.3,0.58,0.27,0.04,0.08,28%,20%,1184,FUT Esports,ap,False
Blossi,aTTaX,"['omen', 'astra']",535,0.88,163.6,0.81,68%,110.3,0.58,0.41,0.06,0.10,26%,11%,11496,ALTERNATE aTTaX Ruby,ap,False
sh1n,KC,"['viper', 'omen', 'kayo']",208,0.88,176.0,0.84,70%,116.2,0.63,0.35,0.09,0.07,26%,5%,8877,Karmine Corp,ap,False
Sacake,VLNT,"['sova', 'gekko', 'fade']",503,0.87,170.5,0.78,69%,112.9,0.57,0.32,0.06,0.04,24%,7%,10188,VALIANT,ap,False
w0zzip,FF,"['gekko', 'kayo', 'breach']",235,0.87,169.6,0.85,70%,111.0,0.58,0.31,0.07,0.08,27%,17%,4686,Fire Flux Esports,ap,False
Gloomy,HOWL,"['viper', 'sova', 'gekko']",381,0.87,158.3,0.79,72%,105.4,0.53,0.36,0.08,0.12,19%,5%,13558,HOWL Esports,ap,False
musashi,ACE,"['gekko', 'raze', 'fade']",375,0.87,167.1,0.84,67%,113.8,0.57,0.27,0.09,0.11,27%,18%,14037,Team Germany,ap,False
HearthBeat,SNS,"['omen', 'brimstone', 'viper']",548,0.87,159.5,0.78,69%,106.5,0.54,0.42,0.06,0.09,27%,8%,14467,SweetNsour,ap,False
zeddy,KPI,"['brimstone', 'gekko', 'omen']",323,0.86,168.1,0.81,73%,109.5,0.55,0.39,0.08,0.09,21%,5%,6313,KPI Gaming,ap,False
ceNder,VIT,"['omen', 'viper']",611,0.86,160.6,0.81,69%,102.6,0.58,0.37,0.07,0.15,28%,8%,2059,Team Vitality,ap,False
